Scenario,Flow,Iteration,SubIteration,Claims_Url,Claims_User,Claims_Pwd,Duckcreek_Url
DEV_DMS_Scenarios,TC01_Sanity_DMS_Login_Logout,1,1,https://dev.psicdemo.com/claims/,claimcs1,77Conf@x2021!,
DEV_DMS_Scenarios,TC01_Sanity_DMS_Login_Logout,2,1,https://dev.psicdemo.com/claims/,claimcs2,77Conf@x2021!,
DEV_DMS_Scenarios,TC01_Sanity_DMS_Login_Logout,3,1,https://dev.psicdemo.com/claims/,claimowner1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC01_Sanity_DMS_Login_Logout,4,1,https://dev.psicdemo.com/claims/,claimowner2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC01_Sanity_DMS_Login_Logout,5,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC01_Sanity_DMS_Login_Logout,6,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC02_CSS_Save_Task,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC02_CSS_Save_Task,2,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC03_CSS_Save_Task_WithoutAttachment,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC03_CSS_Save_Task_WithoutAttachment,2,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC04_CSS_Complete_Task,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC04_CSS_Complete_Task,2,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC05_CSS_Complete_Task_WithoutAttachment,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC05_CSS_Complete_Task_WithoutAttachment,2,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC06_CSS_CompletedTask_Checkpoint,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC06_CSS_CompletedTask_Checkpoint,2,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC07_CSS_Discard_Task,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC07_CSS_Discard_Task,2,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC08_CSS_Discard_Task_WithoutAttachment,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC08_CSS_Discard_Task_WithoutAttachment,2,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC09_CSS_DiscardedTask_Checkpoint,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC09_CSS_DiscardedTask_Checkpoint,2,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC10_CSS_ClaimNumber_Checkpoint,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC10_CSS_ClaimNumber_Checkpoint,2,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC11_CSS_ActivityLog_Checkpoint,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC12_CSS_AddComment_Checkpoint,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC13_CSS_ARender_Preview,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC13_CSS_ARender_Preview,2,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC14_Edit_ViewDocuments,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC14_Edit_ViewDocuments,2,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC14_Edit_ViewDocuments,3,1,https://dev.psicdemo.com/claims/,claimowner1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC14_Edit_ViewDocuments,4,1,https://dev.psicdemo.com/claims/,claimowner2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC14_Edit_ViewDocuments,5,1,https://dev.psicdemo.com/claims/,claimcs1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC14_Edit_ViewDocuments,6,1,https://dev.psicdemo.com/claims/,claimcs2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC15_ARenderview,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC15_ARenderview,2,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC15_ARenderview,3,1,https://dev.psicdemo.com/claims/,claimowner1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC15_ARenderview,4,1,https://dev.psicdemo.com/claims/,claimowner2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC15_ARenderview,5,1,https://dev.psicdemo.com/claims/,claimcs1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC15_ARenderview,6,1,https://dev.psicdemo.com/claims/,claimcs2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC16_CSS_Rescan_Checkpoint,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC16_CSS_Rescan_Checkpoint,2,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC17_DocsMenu_Print,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC17_DocsMenu_Print,2,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC17_DocsMenu_Print,3,1,https://dev.psicdemo.com/claims/,claimowner1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC17_DocsMenu_Print,4,1,https://dev.psicdemo.com/claims/,claimowner2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC17_DocsMenu_Print,5,1,https://dev.psicdemo.com/claims/,claimcs1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC17_DocsMenu_Print,6,1,https://dev.psicdemo.com/claims/,claimcs2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC18_DocsMenu_EMail,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC18_DocsMenu_EMail,2,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC18_DocsMenu_EMail,3,1,https://dev.psicdemo.com/claims/,claimowner1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC18_DocsMenu_EMail,4,1,https://dev.psicdemo.com/claims/,claimowner2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC18_DocsMenu_EMail,5,1,https://dev.psicdemo.com/claims/,claimcs1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC18_DocsMenu_EMail,6,1,https://dev.psicdemo.com/claims/,claimcs2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC19_DocsMenu_Fax,1,1,https://dev.psicdemo.com/claims/,claimcs1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC19_DocsMenu_Fax,2,1,https://dev.psicdemo.com/claims/,claimcs2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC19_DocsMenu_Fax,3,1,https://dev.psicdemo.com/claims/,claimowner1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC19_DocsMenu_Fax,4,1,https://dev.psicdemo.com/claims/,claimowner2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC19_DocsMenu_Fax,5,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC19_DocsMenu_Fax,6,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC20_CopyLink_Document,1,1,https://dev.psicdemo.com/claims/,claimstaff1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC20_CopyLink_Document,2,1,https://dev.psicdemo.com/claims/,claimstaff2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC20_CopyLink_Document,3,1,https://dev.psicdemo.com/claims/,claimowner1,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC20_CopyLink_Document,4,1,https://dev.psicdemo.com/claims/,claimowner2,UGFzc3dvcmRAMTAw,
DEV_DMS_Scenarios,TC20_CopyLink_Document,5,1,https://dev.psicdemo.com/claims/,claimcs1,UGFzc3dvcmRAMTAw,
